filename,label,disease,height,width,avg_contour_length,line_density,num_lines
00001.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,38.90515576917413,4.166666666666667e-06,2.0
00002.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,33.54391240901775,6.25e-06,3.0
00003.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,36.16477814030648,4.166666666666667e-06,2.0
00004.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,37.82281652600484,4.166666666666667e-06,2.0
00005.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,36.78012435604598,4.166666666666667e-06,2.0
00006.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,33.523356389355015,6.25e-06,3.0
00007.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,35.399469736306976,4.166666666666667e-06,2.0
00008.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,30.294023643148705,4.166666666666667e-06,2.0
00009.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,34.97523137120987,4.166666666666667e-06,2.0
00010.tiff,2,"Neurological Disorders - Autism, Schizophrenia",600.0,800.0,33.80447214664799,6.25e-06,3.0
00011.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.883355539004555,4.166666666666667e-06,2.0
00012.tiff,4,Healthy,600.0,800.0,20.27850658484868,6.25e-06,3.0
00013.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,23.413822245308847,4.166666666666667e-06,2.0
00014.tiff,4,Healthy,600.0,800.0,30.42988373207625,2.083333333333333e-06,1.0
00015.tiff,3,Scleroderma - Tissue Disorder,600.0,800.0,36.3273080201149,6.25e-06,3.0
00016.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,32.4903811980472,4.166666666666667e-06,2.0
00017.tiff,4,Healthy,600.0,800.0,39.946167368123255,6.25e-06,3.0
00018.tiff,4,Healthy,600.0,800.0,32.31092293546834,1.0416666666666666e-05,5.0
00019.tiff,4,Healthy,600.0,800.0,40.55786702885245,8.333333333333334e-06,4.0
00020.tiff,4,Healthy,600.0,800.0,38.85632300774257,6.25e-06,3.0
00021.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,34.087146151585586,4.166666666666667e-06,2.0
00022.tiff,0,"Hypertension, Cardiovascular Disease",600.0,800.0,33.49962460529837,4.166666666666667e-06,2.0
00023.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,25.26477462392653,4.166666666666667e-06,2.0
00024.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,25.87981265099637,4.166666666666667e-06,2.0
00025.tiff,1,Down Syndrome - Heart Defects and Immune Issues,600.0,800.0,33.27267654954998,4.166666666666667e-06,2.0
